"station";"datum";"uur";"windsnelheid";"neerslag";"temperatuur"
310;"2022-07-13";1;2.0;0.0;21.5
310;"2022-07-13";2;2.0;0.0;21.7
310;"2022-07-13";3;3.0;0.0;21.4
310;"2022-07-13";4;5.0;0.0;21.6
310;"2022-07-13";5;6.0;0.0;21.3
310;"2022-07-13";6;6.0;0.0;21.3
310;"2022-07-13";7;5.0;0.0;21.4
310;"2022-07-13";8;4.0;-0.1;21.8
310;"2022-07-13";9;3.0;0.3;22.0
310;"2022-07-13";10;4.0;-0.1;21.9
310;"2022-07-13";11;4.0;0.0;24.6
310;"2022-07-13";12;5.0;0.0;21.7
310;"2022-07-13";13;5.0;0.0;22.3
310;"2022-07-13";14;5.0;0.0;22.2
310;"2022-07-13";15;5.0;0.0;22.3
310;"2022-07-13";16;6.0;0.0;20.9
310;"2022-07-13";17;5.0;0.0;20.6
310;"2022-07-13";18;5.0;0.0;19.7
310;"2022-07-13";19;6.0;0.0;19.1
310;"2022-07-13";20;5.0;0.0;18.5
310;"2022-07-13";21;4.0;0.0;17.7
310;"2022-07-13";22;3.0;0.0;17.2
310;"2022-07-13";23;3.0;0.0;16.8
310;"2022-07-13";24;2.0;0.0;16.8
310;"2022-07-14";1;2.0;0.0;16.5
310;"2022-07-14";2;3.0;0.0;16.2
310;"2022-07-14";3;3.0;0.0;15.6
310;"2022-07-14";4;3.0;0.0;15.4
310;"2022-07-14";5;3.0;0.0;15.9
310;"2022-07-14";6;2.0;0.0;17.7
310;"2022-07-14";7;2.0;0.0;18.0
310;"2022-07-14";8;3.0;0.0;18.5
310;"2022-07-14";9;3.0;0.0;19.5
310;"2022-07-14";10;2.0;0.0;20.5
310;"2022-07-14";11;2.0;0.0;21.6
310;"2022-07-14";12;4.0;0.0;22.0
310;"2022-07-14";13;5.0;0.0;21.8
310;"2022-07-14";14;5.0;0.0;22.8
310;"2022-07-14";15;6.0;0.0;21.5
310;"2022-07-14";16;7.0;0.0;20.2
310;"2022-07-14";17;7.0;0.0;19.8
310;"2022-07-14";18;7.0;0.0;19.1
310;"2022-07-14";19;6.0;0.0;17.7
310;"2022-07-14";20;6.0;0.0;16.8
310;"2022-07-14";21;4.0;0.0;16.1
310;"2022-07-14";22;4.0;0.0;15.7
310;"2022-07-14";23;2.0;0.0;15.3
310;"2022-07-14";24;2.0;0.0;15.0
